user_id,session_id,event_time,event_type,content_id,group
u_177,s_1,2025-06-17 20:26:00,visit,c_98,control
u_177,s_1,2025-06-17 20:26:10,watch_start,c_98,control
u_84,s_2,2025-06-27 12:44:00,visit,c_2,test
u_84,s_2,2025-06-27 12:44:10,watch_start,c_2,test
u_84,s_2,2025-06-27 12:44:20,watch_complete,c_2,test
u_84,s_2,2025-06-27 12:44:30,like,c_2,test
u_84,s_2,2025-06-27 12:44:40,share,c_2,test
u_63,s_3,2025-06-19 17:03:00,visit,c_18,control
u_63,s_3,2025-06-19 17:03:10,watch_start,c_18,control
u_201,s_4,2025-06-04 01:01:00,visit,c_82,control
u_201,s_4,2025-06-04 01:01:10,watch_start,c_82,control
u_420,s_5,2025-06-19 14:22:00,visit,c_98,test
u_420,s_5,2025-06-19 14:22:10,watch_start,c_98,test
u_180,s_6,2025-06-19 23:09:00,visit,c_72,control
u_252,s_7,2025-06-28 16:31:00,visit,c_78,test
u_252,s_7,2025-06-28 16:31:10,watch_start,c_78,test
u_252,s_7,2025-06-28 16:31:20,watch_complete,c_78,test
u_252,s_7,2025-06-28 16:31:30,like,c_78,test
u_252,s_7,2025-06-28 16:31:40,share,c_78,test
u_135,s_8,2025-06-21 01:27:00,visit,c_77,control
u_135,s_8,2025-06-21 01:27:10,watch_start,c_77,control
u_135,s_8,2025-06-21 01:27:20,watch_complete,c_77,control
u_135,s_8,2025-06-21 01:27:30,like,c_77,control
u_96,s_9,2025-06-15 10:21:00,visit,c_35,control
u_96,s_9,2025-06-15 10:21:10,watch_start,c_35,control
u_96,s_9,2025-06-15 10:21:20,watch_complete,c_35,control
u_96,s_9,2025-06-15 10:21:30,like,c_35,control
u_486,s_10,2025-06-07 08:18:00,visit,c_68,test
u_486,s_10,2025-06-07 08:18:10,watch_start,c_68,test
u_486,s_10,2025-06-07 08:18:20,watch_complete,c_68,test
u_251,s_11,2025-06-07 00:04:00,visit,c_48,control
u_251,s_11,2025-06-07 00:04:10,watch_start,c_48,control
u_251,s_11,2025-06-07 00:04:20,watch_complete,c_48,control
u_59,s_12,2025-06-24 01:57:00,visit,c_95,control
u_59,s_12,2025-06-24 01:57:10,watch_start,c_95,control
u_59,s_12,2025-06-24 01:57:20,watch_complete,c_95,control
u_176,s_13,2025-06-02 20:07:00,visit,c_17,control
u_389,s_14,2025-06-01 12:09:00,visit,c_37,control
u_18,s_15,2025-06-07 09:03:00,visit,c_59,test
u_18,s_15,2025-06-07 09:03:10,watch_start,c_59,test
u_18,s_15,2025-06-07 09:03:20,watch_complete,c_59,test
u_496,s_16,2025-06-22 06:10:00,visit,c_28,control
u_496,s_16,2025-06-22 06:10:10,watch_start,c_28,control
u_496,s_16,2025-06-22 06:10:20,watch_complete,c_28,control
u_496,s_16,2025-06-22 06:10:30,like,c_28,control
u_496,s_16,2025-06-22 06:10:40,share,c_28,control
u_481,s_17,2025-06-12 15:59:00,visit,c_24,control
u_425,s_18,2025-06-22 07:08:00,visit,c_78,control
u_425,s_18,2025-06-22 07:08:10,watch_start,c_78,control
u_425,s_18,2025-06-22 07:08:20,watch_complete,c_78,control
u_425,s_18,2025-06-22 07:08:30,like,c_78,control
u_401,s_19,2025-06-22 21:34:00,visit,c_84,control
u_401,s_19,2025-06-22 21:34:10,watch_start,c_84,control
u_401,s_19,2025-06-22 21:34:20,watch_complete,c_84,control
u_337,s_20,2025-06-13 07:58:00,visit,c_75,test
u_337,s_20,2025-06-13 07:58:10,watch_start,c_75,test
u_483,s_21,2025-06-21 23:24:00,visit,c_37,test
u_23,s_22,2025-06-27 18:34:00,visit,c_15,control
u_23,s_22,2025-06-27 18:34:10,watch_start,c_15,control
u_58,s_23,2025-06-21 08:23:00,visit,c_1,test
u_58,s_23,2025-06-21 08:23:10,watch_start,c_1,test
u_58,s_23,2025-06-21 08:23:20,watch_complete,c_1,test
u_58,s_23,2025-06-21 08:23:30,like,c_1,test
u_58,s_23,2025-06-21 08:23:40,share,c_1,test
u_276,s_24,2025-06-12 12:29:00,visit,c_27,control
u_276,s_24,2025-06-12 12:29:10,watch_start,c_27,control
u_276,s_24,2025-06-12 12:29:20,watch_complete,c_27,control
u_121,s_25,2025-06-06 20:41:00,visit,c_30,test
u_121,s_25,2025-06-06 20:41:10,watch_start,c_30,test
u_121,s_25,2025-06-06 20:41:20,watch_complete,c_30,test
u_290,s_26,2025-06-01 02:32:00,visit,c_17,control
u_290,s_26,2025-06-01 02:32:10,watch_start,c_17,control
